"Name","Version","Purl","License"
"@alloc/quick-lru","5.2.0","pkg:npm/@alloc/quick-lru@5.2.0","MIT"
"@ampproject/remapping","2.3.0","pkg:npm/@ampproject/remapping@2.3.0","Apache-2.0"
"@apideck/better-ajv-errors","0.3.6","pkg:npm/@apideck/better-ajv-errors@0.3.6","MIT"
"@babel/code-frame","7.27.1","pkg:npm/@babel/code-frame@7.27.1","MIT"
"@babel/compat-data","7.28.0","pkg:npm/@babel/compat-data@7.28.0","MIT"
"@babel/core","7.28.3","pkg:npm/@babel/core@7.28.3","MIT"
"@babel/eslint-parser","7.28.0","pkg:npm/@babel/eslint-parser@7.28.0","MIT"
"@babel/generator","7.28.3","pkg:npm/@babel/generator@7.28.3","MIT"
"@babel/helper-annotate-as-pure","7.27.3","pkg:npm/@babel/helper-annotate-as-pure@7.27.3","MIT"
"@babel/helper-compilation-targets","7.27.2","pkg:npm/@babel/helper-compilation-targets@7.27.2","MIT"
"@babel/helper-create-class-features-plugin","7.28.3","pkg:npm/@babel/helper-create-class-features-plugin@7.28.3","MIT"
"@babel/helper-create-regexp-features-plugin","7.27.1","pkg:npm/@babel/helper-create-regexp-features-plugin@7.27.1","MIT"
"@babel/helper-define-polyfill-provider","0.6.5","pkg:npm/@babel/helper-define-polyfill-provider@0.6.5","MIT"
"@babel/helper-globals","7.28.0","pkg:npm/@babel/helper-globals@7.28.0","MIT"
"@babel/helper-member-expression-to-functions","7.27.1","pkg:npm/@babel/helper-member-expression-to-functions@7.27.1","MIT"
"@babel/helper-module-imports","7.27.1","pkg:npm/@babel/helper-module-imports@7.27.1","MIT"
"@babel/helper-module-transforms","7.28.3","pkg:npm/@babel/helper-module-transforms@7.28.3","MIT"
"@babel/helper-optimise-call-expression","7.27.1","pkg:npm/@babel/helper-optimise-call-expression@7.27.1","MIT"
"@babel/helper-plugin-utils","7.27.1","pkg:npm/@babel/helper-plugin-utils@7.27.1","MIT"
"@babel/helper-remap-async-to-generator","7.27.1","pkg:npm/@babel/helper-remap-async-to-generator@7.27.1","MIT"
"@babel/helper-replace-supers","7.27.1","pkg:npm/@babel/helper-replace-supers@7.27.1","MIT"
"@babel/helpers","7.28.3","pkg:npm/@babel/helpers@7.28.3","MIT"
"@babel/helper-skip-transparent-expression-wrappers","7.27.1","pkg:npm/@babel/helper-skip-transparent-expression-wrappers@7.27.1","MIT"
"@babel/helper-string-parser","7.27.1","pkg:npm/@babel/helper-string-parser@7.27.1","MIT"
"@babel/helper-validator-identifier","7.27.1","pkg:npm/@babel/helper-validator-identifier@7.27.1","MIT"
"@babel/helper-validator-option","7.27.1","pkg:npm/@babel/helper-validator-option@7.27.1","MIT"
"@babel/helper-wrap-function","7.28.3","pkg:npm/@babel/helper-wrap-function@7.28.3","MIT"
"@babel/parser","7.28.3","pkg:npm/@babel/parser@7.28.3","MIT"
"@babel/plugin-bugfix-firefox-class-in-computed-class-key","7.27.1","pkg:npm/@babel/plugin-bugfix-firefox-class-in-computed-class-key@7.27.1","MIT"
"@babel/plugin-bugfix-safari-class-field-initializer-scope","7.27.1","pkg:npm/@babel/plugin-bugfix-safari-class-field-initializer-scope@7.27.1","MIT"
"@babel/plugin-bugfix-safari-id-destructuring-collision-in-function-expression","7.27.1","pkg:npm/@babel/plugin-bugfix-safari-id-destructuring-collision-in-function-expression@7.27.1","MIT"
"@babel/plugin-bugfix-v8-spread-parameters-in-optional-chaining","7.27.1","pkg:npm/@babel/plugin-bugfix-v8-spread-parameters-in-optional-chaining@7.27.1","MIT"
"@babel/plugin-bugfix-v8-static-class-fields-redefine-readonly","7.28.3","pkg:npm/@babel/plugin-bugfix-v8-static-class-fields-redefine-readonly@7.28.3","MIT"
"@babel/plugin-proposal-class-properties","7.18.6","pkg:npm/@babel/plugin-proposal-class-properties@7.18.6","MIT"
"@babel/plugin-proposal-decorators","7.28.0","pkg:npm/@babel/plugin-proposal-decorators@7.28.0","MIT"
"@babel/plugin-proposal-nullish-coalescing-operator","7.18.6","pkg:npm/@babel/plugin-proposal-nullish-coalescing-operator@7.18.6","MIT"
"@babel/plugin-proposal-numeric-separator","7.18.6","pkg:npm/@babel/plugin-proposal-numeric-separator@7.18.6","MIT"
"@babel/plugin-proposal-optional-chaining","7.21.0","pkg:npm/@babel/plugin-proposal-optional-chaining@7.21.0","MIT"
"@babel/plugin-proposal-private-methods","7.18.6","pkg:npm/@babel/plugin-proposal-private-methods@7.18.6","MIT"
"@babel/plugin-proposal-private-property-in-object","7.21.0-placeholder-for-preset-env.2","pkg:npm/@babel/plugin-proposal-private-property-in-object@7.21.0-placeholder-for-preset-env.2","MIT"
"@babel/plugin-proposal-private-property-in-object","7.21.11","pkg:npm/@babel/plugin-proposal-private-property-in-object@7.21.11","MIT"
"@babel/plugin-syntax-async-generators","7.8.4","pkg:npm/@babel/plugin-syntax-async-generators@7.8.4","MIT"
"@babel/plugin-syntax-bigint","7.8.3","pkg:npm/@babel/plugin-syntax-bigint@7.8.3","MIT"
"@babel/plugin-syntax-class-properties","7.12.13","pkg:npm/@babel/plugin-syntax-class-properties@7.12.13","MIT"
"@babel/plugin-syntax-class-static-block","7.14.5","pkg:npm/@babel/plugin-syntax-class-static-block@7.14.5","MIT"
"@babel/plugin-syntax-decorators","7.27.1","pkg:npm/@babel/plugin-syntax-decorators@7.27.1","MIT"
"@babel/plugin-syntax-flow","7.27.1","pkg:npm/@babel/plugin-syntax-flow@7.27.1","MIT"
"@babel/plugin-syntax-import-assertions","7.27.1","pkg:npm/@babel/plugin-syntax-import-assertions@7.27.1","MIT"
"@babel/plugin-syntax-import-attributes","7.27.1","pkg:npm/@babel/plugin-syntax-import-attributes@7.27.1","MIT"
"@babel/plugin-syntax-import-meta","7.10.4","pkg:npm/@babel/plugin-syntax-import-meta@7.10.4","MIT"
"@babel/plugin-syntax-json-strings","7.8.3","pkg:npm/@babel/plugin-syntax-json-strings@7.8.3","MIT"
"@babel/plugin-syntax-jsx","7.27.1","pkg:npm/@babel/plugin-syntax-jsx@7.27.1","MIT"
"@babel/plugin-syntax-logical-assignment-operators","7.10.4","pkg:npm/@babel/plugin-syntax-logical-assignment-operators@7.10.4","MIT"
"@babel/plugin-syntax-nullish-coalescing-operator","7.8.3","pkg:npm/@babel/plugin-syntax-nullish-coalescing-operator@7.8.3","MIT"
"@babel/plugin-syntax-numeric-separator","7.10.4","pkg:npm/@babel/plugin-syntax-numeric-separator@7.10.4","MIT"
"@babel/plugin-syntax-object-rest-spread","7.8.3","pkg:npm/@babel/plugin-syntax-object-rest-spread@7.8.3","MIT"
